comparison_row_id	source_recipe_term	source_row_id	source_composition_row_id	direct_transcription_class	direct_transcription_representation	layered_representation	representation_change_class	bound_semantics_direct	bound_semantics_layered	bound_change_class	manuscript_relevance_note
m9cmp::1	M9 salts	src_ltm_m9b_001	row_ltm_m9s_001	explicitly_flattened_from_stock	Na2HPO4	Sodium	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_in_both	Layered reconstruction replaces direct source compound Na2HPO4 with model-facing source term Sodium while keeping inventory-only semantics.
m9cmp::2	M9 salts	src_ltm_m9b_001	row_ltm_m9s_001	explicitly_flattened_from_stock	Na2HPO4	Phosphate	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_vs_concentration_derived	Layered reconstruction replaces direct source compound Na2HPO4 with model-facing source term Phosphate and also introduces a concentration-derived availability pilot for part of that reconstructed representation.
m9cmp::3	M9 salts	src_ltm_m9b_001	row_ltm_m9s_002	explicitly_flattened_from_stock	KH2PO4	K+	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_in_both	Layered reconstruction replaces direct source compound KH2PO4 with model-facing source term K+ while keeping inventory-only semantics.
m9cmp::4	M9 salts	src_ltm_m9b_001	row_ltm_m9s_002	explicitly_flattened_from_stock	KH2PO4	Phosphate	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_vs_concentration_derived	Layered reconstruction replaces direct source compound KH2PO4 with model-facing source term Phosphate and also introduces a concentration-derived availability pilot for part of that reconstructed representation.
m9cmp::5	M9 salts	src_ltm_m9b_001	row_ltm_m9s_003	explicitly_flattened_from_stock	NaCl	Sodium	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_in_both	Layered reconstruction replaces direct source compound NaCl with model-facing source term Sodium while keeping inventory-only semantics.
m9cmp::6	M9 salts	src_ltm_m9b_001	row_ltm_m9s_003	explicitly_flattened_from_stock	NaCl	Cl-	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_in_both	Layered reconstruction replaces direct source compound NaCl with model-facing source term Cl- while keeping inventory-only semantics.
m9cmp::7	M9 salts	src_ltm_m9b_001	row_ltm_m9s_004	explicitly_flattened_from_stock	NH4Cl	Ammonium	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_vs_concentration_derived	Layered reconstruction replaces direct source compound NH4Cl with model-facing source term Ammonium and also introduces a concentration-derived availability pilot for part of that reconstructed representation.
m9cmp::8	M9 salts	src_ltm_m9b_001	row_ltm_m9s_004	explicitly_flattened_from_stock	NH4Cl	Cl-	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_in_both	Layered reconstruction replaces direct source compound NH4Cl with model-facing source term Cl- while keeping inventory-only semantics.
m9cmp::9	1 M MgSO4	src_ltm_m9b_002		retained_as_named_source_compound	MgSO4	Mg	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_in_both	Layered reconstruction replaces direct source compound MgSO4 with model-facing source term Mg while keeping inventory-only semantics.
m9cmp::10	1 M MgSO4	src_ltm_m9b_002		retained_as_named_source_compound	MgSO4	Sulfate	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_in_both	Layered reconstruction replaces direct source compound MgSO4 with model-facing source term Sulfate while keeping inventory-only semantics.
m9cmp::11	1 M CaCl2	src_ltm_m9b_003		retained_as_named_source_compound	CaCl2	Ca2+	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_in_both	Layered reconstruction replaces direct source compound CaCl2 with model-facing source term Ca2+ while keeping inventory-only semantics.
m9cmp::12	1 M CaCl2	src_ltm_m9b_003		retained_as_named_source_compound	CaCl2	Cl-	retained_in_direct_replaced_in_layered	inventory_only	inventory_only	inventory_only_in_both	Layered reconstruction replaces direct source compound CaCl2 with model-facing source term Cl- while keeping inventory-only semantics.
m9cmp::13	40% glucose	src_ltm_m9b_004		retained_as_named_source_compound	D-glucose	D-Glucose	retained_as_named_source_compound	inventory_only	inventory_only	inventory_only_vs_concentration_derived	Layered reconstruction retains the same named compound but adds a concentration-derived availability pilot, which is a semantic upgrade beyond direct inventory presence.
