medium_name	medium_variant	medium_type	short_description	typical_use	definedness_class	contains_bulk_unresolved_components	bulk_components_summary	source_file	source_page	source_reference_raw	source_reference_normalized
BHI	Brain Heart Broth	broth	General rich broth with brain and heart infusions, peptone, glucose, and phosphate buffer.	Cultivation of fastidious pathogenic microorganisms including yeasts and molds; examination of water, wastewater, meat, and foods.	undefined-complex	yes	calf brain infusion; beef heart infusion; peptone	validation/media/literature_test_media/BHI/53286dat.pdf	1	53286 Brain Heart Broth	Brain Heart Broth 53286
Blood agar	Blood Agar Base N° 2	base	Dehydrated blood agar base containing peptone, liver extract, yeast extract, salt, and agar.	Base for enriched blood agar plates and haemolysis readout.	undefined-complex	yes	peptone; liver extract; yeast extract; agar	validation/media/literature_test_media/blood_agar/TS-4011564.pdf	1	TS-401156 rev 3 2023/04	Biolife TS-401156 rev 3 (2023/04)
Blood agar	Blood Agar Base N° 2 + blood	supplemented plate	Blood Agar Base N° 2 after addition of 5-7% sterile defibrinated sheep or horse blood.	Isolation and cultivation of fastidious and non-fastidious microorganisms and determination of haemolytic properties.	undefined-complex	yes	peptone; liver extract; yeast extract; agar; defibrinated sheep or horse blood	validation/media/literature_test_media/blood_agar/TS-4011564.pdf	1	TS-401156 rev 3 2023/04	Biolife TS-401156 rev 3 (2023/04)
FTM	Classical formula	broth	Fluid thioglycollate broth with casein peptone, yeast extract, dextrose, thioglycollate, cystine, indicator, and low agar.	General-purpose liquid medium for cultivation of aerobes and anaerobes and sterility testing.	undefined-complex	yes	casein peptone; yeast extract; agar	validation/media/literature_test_media/FTM/IFU112640.pdf	1	IFU 112640, Revised June 20, 2013	Remel IFU 112640 (2013)
LB	Broth	broth	Classic LB broth with tryptone, NaCl, and yeast extract.	General growth medium; CCAP recipe adapted from Bertani 1951.	undefined-complex	yes	tryptone; yeast extract	validation/media/literature_test_media/LB/MR_LB.pdf	1	Bertani, G (1951) Studies on lysogenesis... adapted for CCAP	Bertani 1951 / CCAP LB recipe
LB	Agar	agar	LB broth recipe with added bacteriological agar.	Solid LB medium.	undefined-complex	yes	tryptone; yeast extract; agar	validation/media/literature_test_media/LB/MR_LB.pdf	1	Bertani, G (1951) Studies on lysogenesis... adapted for CCAP	Bertani 1951 / CCAP LB recipe
M9	10X M9 salts stock	stock solution	Defined phosphate-ammonium-salt stock used as the basis for final M9 formulations.	Intermediate stock solution for preparing M9 broth or agar.	defined	no		validation/media/literature_test_media/M9/MEDIA-M1.pdf	1	Molecular Cloning, A Laboratory Manual 1st ed. Maniatis. 1982. p.68.	Maniatis 1982 p.68 / M9
M9	Broth	minimal broth	Defined minimal broth assembled from water, M9 salts stock, MgSO4, CaCl2, and glucose stock.	Minimal medium for broth culture.	defined	no		validation/media/literature_test_media/M9/MEDIA-M1.pdf	1	Molecular Cloning, A Laboratory Manual 1st ed. Maniatis. 1982. p.68.	Maniatis 1982 p.68 / M9
M9	Agar	minimal agar	M9 broth recipe prepared with agar.	Minimal solid medium; PDF notes CaCl2 should not be added for Pseudomonas.	semi-defined	yes	agar	validation/media/literature_test_media/M9/MEDIA-M1.pdf	1	Molecular Cloning, A Laboratory Manual 1st ed. Maniatis. 1982. p.68.	Maniatis 1982 p.68 / M9
MacConkey agar	Classical formula	selective differential agar	Selective differential agar with multiple peptones, bile salts, lactose, neutral red, crystal violet, and agar.	Selective and differential isolation of gram-negative bacilli on the basis of lactose fermentation.	undefined-complex	yes	gelatin peptone; meat peptone; bile salts; casein peptone; agar	validation/media/literature_test_media/macconkey_agar/IFU453801.pdf	1	IFU 453801, Revised September 30, 2010	Remel IFU 453801 (2010)
RCM	Reinforced Clostridial Medium	semisolid medium	Reinforced clostridial medium with meat extract, peptone, glucose, yeast extract, starch, acetate, cysteine, and low agar.	Cultivation and enumeration of clostridia and other anaerobes as well as facultative microorganisms.	undefined-complex	yes	meat extract; peptone; yeast extract; starch; agar	validation/media/literature_test_media/RCM/27546dat.pdf	1	27546 Clostridial Nutrient Medium (Reinforced Clostridial Medium; RCM)	RCM 27546
TSB	Tryptic Soy Broth	broth	Rich soy-casein digest broth with glucose and phosphate buffer.	Luxuriant growth of many fastidious organisms; confirmation of Campylobacter jejuni by motility test.	undefined-complex	yes	casein peptone; soya peptone	validation/media/literature_test_media/TSB/22092dat.pdf	1	22092 Tryptic Soy Broth (TSB...)	TSB 22092
